,,,,,,,
URL,Title,Date,Location,Label ,Summary,Text,Relevant?
http://www.panarmenian.net/eng/news/164083/,"
At least 28 killed in Pakistani bomber attack",7/1/13,"Quetta, Pakistan",N/A,"28 people were killed by a suicide bomber in Quetta, Pakistan. The bomber was orchestrated by Lashkar-e-Jhangvi, who continue attacking the ethnic Shi'ite minority known as the Hazara and is affiliated with Takfiri Deobandi school of Islam who see Shi'ites as infidels.","At least 28 people were killed and dozens wounded in the southwestern Pakistani city of Quetta on Sunday, June 30 when a suicide bomber attacked a largely Shi'ite Muslim neighborhood, police said, according to Reuters.

The blast appeared to be the latest in an escalating campaign of gun and bomb attacks by militants on ethnic Hazaras in Quetta because they belong to Pakistan's Shi'ite minority.

Mir Zubair, Quetta's police chief, said a suicide bomber riding a bicycle had detonated his explosives when he was stopped at a barrier in the Hazara Town district, a Hazara enclave on the western edge of the city.

""The dead included nine women, a girl and a 14-year-old boy,"" Zubair told reporters.

Lashkar-e-Jhangvi, a militant group which has carried out many gun and bomb attacks on Hazaras in Quetta, said it was behind the bombing. A spokesman for the group called the Express News television channel to make the claim.

The group is aligned with the Takfiri Deobandi school of Islam, which sees Shi'ites as infidels.

Lashkar has intensified its campaign in Quetta this year. Earlier this month, it claimed responsibility for an attack in which a suicide bomber attacked a bus carrying women students in Quetta and then gunmen stormed a hospital treating survivors. More than 20 people were killed from various ethnic groups.",No
http://www.panarmenian.net/eng/world/news/62263/,"

Benefactor Vigen Shaghzoian passes away",2/23/11,"Glendale, California",5,"Vigen Shaghozoian has died. He was known for contributing to the Armenian Culture foundation along with many other Armenian cultural foundations. Donations will be given to the Armenian culture foundations ""Vigen Shaghzoian Fund""","Long-time activist and benefactor Vigen Shaghzoian passed away leaving behind a legacy of service and generous philanthropy in communities throughout the world.

A state funeral will be held on February 26 at 2 p.m. at Glendale’s St. Mary’s Armenian Church and will be presided over by Western Prelate Archbishop Moushegh Mardirosian. Burial will follow at Forest Lawn Hollywood Hills, Asbarez.com reported.

During his lifetime, Shaghozian has contributed to several community organizations, including the Armenian Cultural Foundation, the Armenian National Committee, the Catholicosate of the Great House of Cilicia, the Prelacy of Kuwait and the Gulf Region, the Armenian School in Kuwait and the community center in Lebanon, which was called the Shaghzoian center.

Condolences have been offered to the family by the Armenian Revolutionary Federation Western US Central Committee, His Holiness Aram I, Catholicos of the Great House of Cilicia and Archbishop Mardirossian, on behalf of the all the boards and committees function under the auspices of the Western Prelacy.

In lieu of flowers, donations may be made to the Armenian Cultural Foundation’s “Vigen Shaghzoian Fund.”","Yes"
http://www.panarmenian.net/eng/news/175561/,Gia Coppola’s “Palo Alto” drama release date set,2/4/2014,Many locations,N/A,"Palo Alto, a movie starring James Franco, is being nationally released. The film was made by Gia Coppola.","Tribeca Film has dated “Palo Alto” the debut feature from Gia Coppola, for a May 9 opening in New York and Los Angeles, followed by a national release, Variety said.

“Palo Alto” screened last year in the Venice, Telluride and Toronto film festivals, and Tribeca Film picked up U.S. rights in December. Coppola is the granddaughter of Francis Ford Coppola and niece of Sofia Coppola.

The film is a James Franco and Rabbit Bandini Prods. presentation, produced by Sebastian Pardo, Adriana Rotaru, Miles Levy and Vince Jolivette and based on several linked stories in James Franco’s book of the same name about a group of high school students.

Franco stars with Emma Roberts, Jack Kilmer, Nat Wolff, Zoe Levin, Chris Messina and Val Kilmer with three storylines — a young woman (Roberts) caught between flirting with her soccer coach (Franco) and a relationship with a teen stoner (Jack Kilmer); another about a promiscuous young woman (Levin); and a third about the stoner and his possibly dangerous best friend (Wolff).",No
http://www.panarmenian.net/eng/politics/news/59627/,"In 2010, Armenia actively participated in NATO and other international organizations’ work",1/14/11,Not applicable,N/A,"Armenia continues to normalize relations with Turkey, tries to develop relationships with Asian countries, and work economically with Europe and the UN.","The policy of Armenia to normalise the Armenian-Turkish relations has been received by the international community with full understanding and support, according to the annual report of Armenian Foreign Ministry.

Purposeful steps were undertaken to further develop mutually beneficial cooperation with the Asian countries, particularly with China, India and Japan. Active steps were initiated to develop relations with Arabic countries during the year. Efforts were exerted to further extend the cooperation with the countries of Latin America.

Armenia has been actively involved in the cooperation within the Collective Security Treaty Organisation. Meetings of the Heads of the member-states of the Organisation took place in Yerevan and Sevan.

Armenia intensively participated in the activities of the CIS and EurAsEC and in the processes occurring within those Organisations. The Individual Partnership Action Plan with NATO has been successfully implemented.

Armenia has continued its participation in international peace-keeping activities.

The participation in the activities of the UN and other international organizations, as well as the active involvement in the international campaign against terrorism and other challenges has continued.

One of the pivotal issues of the foreign policy was the establishment of stability, cooperation, security and peace in the South Caucasus. Armenia exerted efforts to the achievement of a stable and secure region.

The economic dimension of foreign policy has continued to play an important role in our agenda, both in bilateral and multilateral relations with international structures and financial institutions.

As a result of continuous work in inter-governmental trade and economic committees of dozens of countries, agreements for future extensive cooperation were reached, new projects were planned.

International cooperation in the fields of culture and education has continued.

Armenian Foreign Ministry contributed to the activities of other Armenian state institutions in order to develop foreign relations.

A big number of visits, political consultations, meetings and events took place on intergovernmental, interagency and decentralized levels, agreements were reached, around 70 international agreements were signed which could serve as a good basis for future development of the bilateral and multilateral relations.

The international recognition of the Armenian Genocide was in the foreign policy agenda. On the 95th Anniversary of the Genocide events were organised in around four dozens of countries to which the Armenian diplomatic representations have shown their support.

The Diplomatic school of the Ministry of Foreign Affairs started to function in 2010, which will soon have its first graduates.

The Law on Diplomatic Service has been amended, the Ministry underwent structural changes.

Last year Armenia opened embassies in 7 countries (Kuwait, Czech Republic, Spain, Japan, Brazil, Iraq, and the Netherlands).

Activities continued to further form international public opinion on Armenia. The Armenian President and Foreign Minister made speeches in leading think tanks, had interviews to eminent international mass media outlets.

The President of the Republic had 22 foreign visits, Armenia has been visited by 6 heads of other countries. President of the National Assembly made 9 visits abroad. Prime-minister made 8 foreign visits. 3 Heads of Foreign Governments, 14 Foreign Ministers, 5 Heads of International organisations visited Armenia. Armenian Foreign Minister made 24 visits.

One of the pivotal issues of the foreign policy was the establishment of stability, cooperation, security and peace in the South Caucasus. Armenia exerted efforts to the achievement of a stable and secure region.

The economic dimension of foreign policy has continued to play an important role in our agenda, both in bilateral and multilateral relations with international structures and financial institutions.

As a result of continuous work in inter-governmental trade and economic committees of dozens of countries, agreements for future extensive cooperation were reached, new projects were planned.

International cooperation in the fields of culture and education has continued.","Yes"
http://www.panarmenian.net/eng/news/239030/,VivaCell-MTS hosts Aregnazan school students at Open Door event,5/4/17,Aregnazan School,2-->3,"VivaCell, a major ITT company, went to the Aregnazan school to stress the values of the company and try to explain the value of the company.","VivaCell-MTS recently hosted 21 10th grade students from Aregnazan School and their instructors – Information Security Expert Samvel Martirosyan, and Gayane Dashtoyan at an Open Door event.

""Choosing a future profession is one of the most crucial issues facing high school students. Information and Telecommunications Technologies (ITT) are among the areas in the focus of attention of young people. Doors of Armenia’s leading telecommunications operator VivaCell-MTS are always open for schoolchildren to support them in understanding the various fields, professional orientation, and help in choosing a path of life. For this purpose, the company has been organizing Open Door events for senior school kids and students,"" the company said in a statement.

VivaCell-MTS General Manager Ralph Yirikian introduced the history of the company, its mission and main directions of activities. Yirikian detailed VivaCell-MTS’ key values, the importance of the culture of corporate management and its specifics, underlining its role as the most important precondition of innovation. The General Manager introduced the principles of corporate responsibility, the work and the crucial projects implemented by the company within the strategy. The students got acquainted with the model of business management, as well as the basics of mobile communication. The guests also toured the company headquarters and visited the main operational centers. The meeting ended with a Q/A session.

“ITT is a dynamically developing industry, which involves sub-industries that require education, knowledge, and, most importantly, creativity and commitment to work. VivaCell-MTS has the best specialists. Being the best requires not just education and knowledge but consistent work to continuously improve skills and to achieve the goals set by the company,” said Yirikian.

Aregnazan, founded in 1994, is the first and only Waldorf School in Armenia. Waldorf pedagogy is based on a holistic approach to education that strives to ensure equal development of children’s intellectual abilities and personal qualities, in harmony with their age and temperament. The Waldorf education focuses on creating wider opportunities for the holistic growth of each child.

There are more than a thousand Waldorf schools all over the world. The majority of them are situated in German-speaking European countries, in Western and Eastern Europe, in the United States and Canada, and in Southern America. Waldorf schools also exist in Israel, Japan and Egypt. All Waldorf schools have state license: high school certificates and transcripts are recognized in respective countries.",Yes
http://www.panarmenian.net/eng/news/111166/,Facebook forced into unmasking identities of anonymous cyberbullies,6/9/2012,"Brighton, UK",N/A,Facebook is not fighting a court order which allowed Nicola Brooks to find her anonymous cyberbullies online. They will hand the information and IP addresses of these people over to her while other cases like this continue around the world.,"When Nicola Brookes posted a message of support on Facebook about her favorite contestant on The X Factor talent competition, she found herself the victim of incessant and constant torment from anonymous cyberbullies. But rather than take the abuse sitting down, Brookes decided to fight, taking her assailants to court. And she won.

In her suit, Brookes claimed to have been the victim of a number of slanderous, malicious attacks. Her attackers created a page on the social network that branded the Brighton, U.K. woman as a drug dealer and a pedophile. The court ruled that Facebook must turn over the names, email addresses, and IP information of the trolls who tormented her.

For its part, Facebook is not expected to fight the court order. The company will comply as soon as it is officially served papers by the court, explaining in a statement that, ""we respect our legal obligations and work with law enforcement to ensure that such people are brought to justice.""

Brooks, who filed the suit after having trouble getting the police to take her problems seriously, appears to be satisfied with the court's ruling. ""I want them exposed,"" said Brookes. ""They exposed me and they invaded my life. I didn't ask for it. They wanted a reaction from me and now they have got it.""

This is not the first court case involving a victim suing a cyberbully — a Georgia teenager filed a lawsuit against her Facebook attackers after the girl's school and police failed to help. Previous courts here in the U.S. have similarly stripped internet users of their anonymity in response to criminal threats, Today in Tech reported, citing The Guardian.

","No"
http://www.panarmenian.net/eng/culture/news/50064/,Asia band founder performs at Raglan Music Festival featuring Geoff Downes and Friends - Rock Aid Armenia special project,6/15/2010,Raglan Music Concert,2-->4,"Asia band founder Geoff Downes continue selling out tickets, continuing the 1989 Rock Aid Armenia project. They continue donating money to Gyumri school reconstruction and a RA Philharmonic Orchestra.","1989’s Rock Aid Armenia project participants continue with their support to Armenia.

One of Asia band founders, Geoff Downes (keyboards), performed at Raglan Music Festival featuring Geoff Downes and Friends - Rock Aid Armenia special project.

With all tickets sold out, the performance was a success, being named the best in 6 years.

Geoff Downes visited Armenia in 2009 within the framework of Armenia Grateful 2 Rock project. The artist was awarded with RA President’s Medal of Honour for contribution to Rock Aid Armenia project.

Proceeds from Geoff Downes’ concert in Raglan (USD 3 thousand) will be allocated to Gyumri music school reconstruction fund.

Proceeds from Ian Gillan’s charity concerts with RA Philharmonic Orchestra (USD 45 thousand) will be allocated to the same fund.",Yes
http://www.panarmenian.net/eng/society/news/37331/,Founder of ABBYY David Yang to give a lecture to Armenian students,10/8/2009,Yerevan State University,5,ABBYY Software House David Yang will give a master class at Yerevan State University to demonstrate his success. He works at the IT company which continues to grow.,"On October 9, 2009, founder and chairman of board of the world-known IT company, ABBYY Software House David Yang will give a master class at the Yerevan State University ""From Education to Success. Business in the 21st century"" and will share his personal experience and secrets of success.



David Yang, candidate of physical and mathematical sciences,was born June 3, 1968 in the Armenian capital Yerevan. He finished the Yerevan Physics and Mathematics School. While a student at the Moscow Physical-Technical Institute, 21-year-old David created an electronic dictionary Lingvo. Today, ABBYY is a leading IT company with 900 employees in 8 countries of the world and over 30 million clients in 130 countries. Ph.D. in Physics and Mathematics, Laureate of Russian Government Award in Science and Technology, creator of the first pocket communication computer for youngsters. David Yang's profile is included in the ""Who Is Who"" US directory. Among his other successful business projects are club-restaurants FAQCafe, ArteFAQ, Squat, The Sister Grimm, iiko and ATAPY Software companies.
","Yes"
http://www.panarmenian.net/eng/economy/news/45310/,Georgia spends $108 million to improve socio-economic status of Javakheti,3/11/10,"Javakheti, Georgia",5,Georgia donates 108 million to help 144 Armenian schools in Georgia. They now provide permits for approved literature in that area.,"The Georgian authorities permit carrying Armenian literature to Javakheti, Georgian Ambassador to Armenia Grigol Tabatadze told a news conference in Yerevan, commenting on the information that it is forbidden to carry Armenian literature to Javakhk. ""The Georgian government is funding 144 Armenian schools in Georgia. Books and manuals, approved by the Georgian ministry of education are translated into Armenian in Armenia and then sent back to Georgia. Other Armenian textbooks, which are not approved by the Georgian education ministry cannot cross the Armenian-Georgian border,"" Tabatadze said. According to him, this year graduates of national minorities’schools will pass one exam in their language.

""The Georgian authorities have spent some USD 108 million to improve the socio-economic status of Javakhk,”Tabatadze said, adding that several Armenian schools were restored, including school after Vahan Teryan.","Yes"
http://www.panarmenian.net/eng/sport/news/39026/,Shooting Championship starts November 13 in Armenia,11/12/2009,Yerevan,5-->3,An open shooting championship will start in Armenia on November 13th.,"Open shooting championship starts on November 13 in Armenia. Competitions will be held November 14-15 in the Junior shooting school in Yerevan 



""The championship will be attended by 50 boys and girls under 20 from Yerevan, Gyumri and Vanadzor,"" president of the Armenia's Shooting Federation Grachya Petikyan told a PanARMENIAN.Net repo",Yes
