Keyword,URL,Title,Date,Location,Implementation,Summary,Text,Relevant,Private/Public,Positive/Negative,Category, Change,Legend
army,http://www.panarmenian.net/eng/news/144842/,North Korea famine hit thousands in 2012 - report,2/8/13,North Korea,N/A,,"A famine in a key North Korean grain-growing region in 2012 may have killed thousands of people at the same time as the country was staging mass celebrations to commemorate the 100th anniversary of the birth of the state's founder, according to a news agency based in Japan, Reuters said.
It was impossible to verify the report independently, and sporadic famines are commonplace in North Korea, according to experts based in South Korea. A United Nations analysis in 2011 showed that around a third of children were malnourished.
The report from Rimjin-gang/ASIAPRESS said that, based on its own reporting from the region and from contact with North Korean defectors and people crossing the border, a famine hit the North and South Hwanghae provinces in January-May 2012.
""Farming villages in the Hwanghae region, and especially in southern Hwanghae province, play an important part as a base for food supply for not just the army but also for city workers,"" the report, published last week, said.
It cited examples of farmers and laborers in the region, in the southwest of the country, saying that ""about a tenth"" of a work brigade of 60 people in one village had died. Another case cited said that the death rate had been ""30 people out of every 1,000. They say this is 30 times as high as a normal year.""
A report by the U.N. World Food Programme published in November estimated that overall food production rose by 10 percent for the 2012 and 2013 early season harvest, leaving a staple food deficit of 207,000 metric tons - something it said was ""the lowest in many years.""
Despite an improvement in the overall food picture in the North, the need to feed the army and ensure supplies to the capital Pyongyang, the showcase city and core support base for the government, meant it was possible there were regional famines that have not been reported, experts said.",no,N/A,N/A,N/A,0,junk
,http://www.panarmenian.net/eng/news/87857/,"Iran to test missiles, smart torpedoes during wargames",12/9/11,Iran,N/A,,"The Iranian Navy plans to test its advanced missiles and smart torpedoes during the ongoing naval wargames, codenamed Velayat 90, in Southern waters, a senior Navy commander announced.
""During the coming days of the wargames, the Navy will launch advanced short-range, mid-range and long-range missiles and also smart torpedoes,"" Deputy Commander of the Navy for Coordination Admiral Rastegari told Fars News Agency.
He said the army used to make use of real vessels to test torpedoes, but now the Navy has designed a system which has all the needed features and characteristics of a target for testing torpedoes.
Iran's naval forces started 10-day wargames, dubbed as Velayat 90, in an area stretching from the East of the Strait of Hormoz in the Persian Gulf to the Gulf of Aden last weekend.
In August, President Ahmadinejad unveiled an anti-ship cruise missile, dubbed as Qader, the home-made Valfajr torpedo launcher and ""Bonyan 1"" sea engine. Qader is an anti-ship cruise missile with a range of 200km developed by local engineers and defense industry experts.
Valfajr torpedo system, also developed by Iranian experts, has a 220kg warhead and can be used to destroy heavy vessels. The torpedo, which can be launched by submarines, is able to operate under different weather conditions, deep or shallow waters and is equipped with advanced safety and arm system, the report says.",no,N/A,N/A,N/A,0,public goods
,http://www.panarmenian.net/eng/news/182562/,Iraqi forces launch intense military operation against IS,9/17/14,Iraq,9/17/14,,"Iraqi forces launched an intense military operation against Islamic State insurgents in three cities in central Iraq on Wednesday, Sept 17, fighting to regain control of lost ground,Reuters reported, citing security sources.
The offensives in Ramadi, Falluja and Haditha in the western province of Anbar started before dawn, security sources in the three cities said.
Sunni tribes revolted in these areas in late 2013 when Iraq's former prime minister, Nuri al-Maliki, moved his forces into the cities to suppress a year-long anti-government protest movement.
Islamic State insurgents then entered the cities and became the dominate force over the course of several months' fighting against the Shi'ite-led government.
Maliki's successor, Prime Minister Haider al-Abadi, promised last week to end strikes on cities, in order to reduce civilian casualties. Wednesday's attacks were on outlying suburbs of the three cities.
Security sources said the Iraqi Army's 8th division hit areas in western Ramadi with mortars, artillery and rocket fire. Government-aligned Sunni tribal fighters also clashed with Islamic State in Ramadi, leaving eight people dead, a hospital source in Ramadi said.
A suicide car bomb blast destroyed a bridge in Ramadi on Wednesday, killing nine people and cutting off a vital route out of the city to the west, security sources said.
In Falluja, heavy shelling and Iraqi air force strikes hit the al-Sujur district on the edge of the city, killing 12 civilians, medics in Falluja said.
Islamic State insurgents attempted to take control of Barwana, a residential area 5 km (3 miles) south of Haditha on Wednesday, a security source said, leading to clashes with pro-Baghdad forces. Unlike Falluja and Ramadi, the Iraqi army still controls much of Haditha.",no,N/A,N/A,N/A,0,private public goods
,http://www.panarmenian.net/eng/news/231063/,Philippine troops reportedly wound top terror suspect,1/27/17,Philipines,1/27/17,,"Philippine troops have launched airstrikes and ground assaults that reportedly wounded one of Southeast Asia's most-wanted terror suspects who is trying to establish a new base for an alliance backing the Islamic State group, officials said Friday, January 27, according to The Associated Press.
Intelligence reports showed initial assaults killed at least four militants, possibly including a Malaysian, and reportedly wounded the main target, Isnilon Hapilon, Defense Secretary Delfin Lorenzana told The Associated Press.
He said that Hapilon apparently managed to flee from an encampment in the mountainous hinterlands of Butig town in southern Lanao del Sur province.
""Army troops are still in hot pursuit,"" Lorenzana said.
Airstrikes targeted Hapilon's group on Wednesday and Thursday. Hundreds of troops, backed by artillery fire, then began pursuing him and other militants from the so-called Maute group in Butig, military chief of staff Gen. Eduardo Ano said.
Hapilon, who is on the U.S. Department of Justice list of most-wanted terrorists worldwide with up to $5 million bounty for his capture, moved to Butig from his stronghold on southern Basilan island a month ago to look for a base for his new militant alliance, Ano told The AP.
Lanao lies about 830 kilometers (520 miles) south of Manila.
President Rodrigo Duterte has repeatedly warned that the emergence of IS-influenced militant groups was fast looming as a major national security threat. While pursuing peace talks with two large Muslim rebel groups in the predominantly Roman Catholic nation, he has ordered the military to destroy smaller but brutal extremist groups like the Abu Sayyaf, which is dreaded for cross-border kidnappings, beheadings and bombings.",no,N/A,N/A,N/A,0,army
,http://www.panarmenian.net/eng/news/246324/,Situation on Karabakh frontline relatively calm over past week,9/9/17,Armenia/Nagorno Karabakh,09/03/2017-09/09/2017,"2500 shots were heard, but situation is relatively calm","The situation along the contact line between Nagorno Karabakh (Artsakh) and Azerbaijan remained relatively calm over the period between September 3 and 9, Artsakh army said in a statement.
In particular, some 2500 shots were fired from various caliber firearms in the reporting period.
Karabakh frontline units remain vigilant and continue protecting their positions.
Armenian and Azerbaijani foreign ministers will meet the OSCE Minsk Group co-chairs on the sidelines of the 72nd session of the UN General Assembly to discuss the settlement of the conflict. No exact date is available for now.",yes,N/A,positive,D,0,conflict dynamics
,http://www.panarmenian.net/eng/details/117067/,Islamic NATO as a new step towards Ottoman Empire revival,7/28/12,Turkey,N/A,,"The new organization first targets the Arab world, which Turkey is eager to attract under the “democracy protection” cover.

Turkey is trying to become a more active player in the Near East, voicing ideas which then appear to be alarming, if not dangerous. Complete failure of the foreign policy pushes Ankara to seeking new ways of implementing the “neo-Osmanism”. This, first of all, assumes the endorsement of caliphate and restoration of the following title:
July 28, 2012
PanARMENIAN.Net - “Sultan (given name) Khan, Sovereign of the House of Osman, Sultan of Sultans, Khan of Khans, Commander of the Faithful and Successor of the Prophet of the Lord of the Universe, Protector of the Holy Cities of Mecca, Medina and Jerusalem”, et cetera, et cetera.

This was not just a detailed listing of the sultan titles. Huge army that conquered vast territories in 400 years including Mecca and Medina, now under rule of Al Saudi dynasty, was of major importance for the Ottoman Empire. Establishment of a new caliphate needs an army as well - united Islamic forces, if possible.

Mustafa Kamalak, chairman of the Turkish Saadet (“Felicity”) Party voiced this idea in Morocco last week. Saadet is the hardliner wing of the former Turkish Refah (“Welfare”) Party, the moderate Eurocentric wing of which is now Turkey's ruling Justice and Development Party (AKP). Kamalak declared that “Islamic NATO” and Islamic peacekeeping forces need to be established urgently.

“Today’s events in Islamic countries again proved that the former Turkish PM Necmettin Erbakan was right in his urge to create Islamic peacekeeping forces. We heartily welcome the awakening in Islamic states and pray for their success. Still, the Western states are trying to benefit from it. We must first push forward unity and integrity, rather than our conflicts,” Kamalak noted.

Former prime minister of Turkey Necmettin Erbakan is known as author of the “universal caliphate” concept. Ideologically, caliphate bases on Islam, while its martial aspect relies on the independent military-political bloc. Erbakan named this bloc the “Islamic peacekeeping forces” and its supporters - the “Islamic NATO”. The North-Atlantic Alliance is facing hard times now; meanwhile, Turkey is increasingly gaining weight entitling it to come up with such statements. No doubt, Azerbaijan will be the first to join the Islamic NATO in case it does emerge. Baku will definitely attempt to thus settle its issues; otherwise, it will lose the second Karabakh war as well if it relies on its own resources.

It should be noted that the “Islamic NATO” first of all targets the Arab world, which Turkey is eager to attract under the “democracy protection” cover. This “democracy” was quite apparent in Libya, Tunisia and Egypt; tragically, Syria is following the same path.

The “Islamic NATO” will definitely never lack funding: Saudi Arabia and Qatar will gladly undertake the financing of this formation, despite certain theological discrepancy between Sunnis of the Gulf monarchies and Turkey.

However, these obstacles can be overcome: monarchies, particularly Saudi Arabia dominated by Wahhabi branch of Islam will hardly insist on the Sunnism they practice.

The new structure will also try to move away from the West and just ignore Iran. The West may also welcome the new bloc hoping it will help settle the Syrian and Iranian issues. In a word, everybody will be happy.

Just one minor note: is the Arab world willing to see Turkey take the lead of their united forces? The history hints the answer is negative. The thing is that the ideas Ankara is coming with every now and then may once become a reality. So, one has to rely on Saudi Arabia and Qatar in this. Formal support to Erdogan with his sultanic aspirations is one thing, while tolerating, so to say, such a leader of the Islamic world is quite another. Saudi Arabia’s kingdom rightfully believes this to be its prerogative and is not going to step down as yet, “as yet” being the key phrase here...",no,N/A,N/A,N/A,0,protest
,http://www.panarmenian.net/eng/news/179995/,Turkey gives life sentences to 2 leaders of 1980 coup,6/8/14,Turkey,N/A,,"Turkey has given life sentences to the two surviving leaders of the 1980 coup, ex-army leader Gen Kenan Evren, 97, and Gen Tahsin Sahinkaya, 89, BBC News reported.
The two officers, who did not appear in court due to ill health, are the first to be tried for a coup in Turkey. Gen Evren, who was also president until 1989, never expressed regret for the coup that led to a wave of executions, torture and disappearances.
Some 600,000 people were detained and 50 executed by hanging in the coup.
Separately on Wednesday, June 18 Turkey's highest court paved the way for the potential retrial of 230 military officers convicted of attempting to topple Prime Minister Recep Tayyip Erdogan's government in the so-called 2003 ""Sledgehammer"" plot.
Gen Evren and Gen Sahinkaya were convicted of crimes against the state for setting the stage for army intervention and conducting the coup. It is not yet clear if they will be made to serve the life sentences due to ill health.
Gen Evren's military takeover came to symbolise the military's long-standing dominance over Turkish politics.
But a constitutional clause granting the generals immunity from prosecution was overturned after a referendum in 2010, as part of Prime Minister Erdogan's attempts to rein in the power of the army.
Gen Evren justified the coup by saying it saved the country from descending into anarchy after deadly fighting between political extremists. ""Should we feed them in prison for years instead of hanging them?"" he said in a speech in 1984, defending the decision to hang political activists.
They will immediately appeal against the verdict, their lawyer, Burak Baskale told the Associated Press news agency.
The 1980 military overthrow was the last and bloodiest of Turkey's coups. The others took place in 1960 and 1971, although the military also forced out a coalition government in 1997.",no,N/A,N/A,N/A,0,foreign aid
,http://www.panarmenian.net/eng/news/170475/,Assad says he doesn’t discount U.S. military attack possibility,9/26/13,Syria,9/25/13,,"Syrian President Bashar Assad said in an interview broadcast Wednesday, Sept 25, that he does not discount the possibility of a U.S. military attack even though threatened action was forestalled when he agreed to give up chemical weapons.
Assad also said in an interview broadcast by Venezuela's state-run Telesur network that his government has confessions from rebels that they brought chemical weapons into the civil war-wracked nation. According to the broadcast's Spanish dubbing, Assad said all evidence pointed to rebel responsibility for the attack.
He said that Syrian authorities had uncovered chemical arms caches and labs and that the evidence had been turned over to Russia, which brokered the deal that helped persuade U.S. President Barack Obama to pull back from threatened military action over an Aug 21 gas attack that killed civilians in a Damascus suburb.
In a speech at the UN on Tuesday, Obama said he would not use military force to depose Assad. But Washington and Moscow remain at odds on how to hold Syria accountable if it does not live up to its pledge to dismantle its chemical weapons stockpile.
Assad predicted during the 40-minute interview that “terrorists would try to block access of UN inspectors who enter Syria to secure the government's chemical arsenal.”
While Assad said he had evidence that countries including Saudi Arabia were arming Syrian rebels, he said he had no proof that any particular country had supplied them with chemical weapons.
He was also asked about the apparent thaw in relations between the U.S. and Iran, his government's chief patron in the region.
Assad called the development positive but added that he did not consider it to mean that Tehran's leaders trust Washington. He said it was important that the U.S. stop pressuring Iran not to have nuclear technology.
Assad also accused the Obama administration of lying to U.S. citizens by claiming it has proof that Assad's government was responsible for the Aug 21 gas attack.
Interviewed by China's state television CCTV in Damascus on Monday, Assad said he was not concerned about the draft resolution and that China and Russia would ""ensure any excuse for military action against Syria will not stand.""
""I am not concerned. Since its independence, Syria has been committed to all the treaties it has signed. We will honor everything that we have agreed to do. And more importantly, I want to say, by submitting the draft to the UN Security Council, or by urging the U.S. and Russia to agree on a deal, the U.S., France, and Britain are just trying to make themselves winners in a war against a Syria which is their imaginary enemy,"" Assad was quoted as saying.
In an interview on the Fox News television channel earlier this month, Assad said his government would dispose of its chemical weapons arsenal and it would take about a year. ""I think it is a very complicated operation technically and it needs a lot, a lot of money. Some estimated about a billion for the Syrian stockpile,"" he said.
He said the Syrian army was advancing in the area at the time and had no need to fire rockets filled with the nerve agent sarin, as the United States says it did. ""The whole story doesn't even hold together. It's not realistic. So, no, we didn't. In one word, we didn't use any chemical weapons in Ghouta,"" he said, speaking English.",no,N/A,N/A,N/A,0,external shock
,http://www.panarmenian.net/eng/news/189021/,Time for the West to accept Assad is here to stay: Syria envoy,3/7/15,Syria,N/A,,"Syria's envoy to the United Nations says it's time for the United States and other Western powers to accept that President Bashar al-Assad is here to stay, and to abandon what he suggested was a failed strategy of trying to split the Middle East into sectarian enclaves, Reuters said.
Speaking to Reuters on the eve of the fourth anniversary of the Syrian war, Assad's long-serving UN ambassador Bashar Ja'afari said his president was ready to work with the United States and others to combat terrorism in the Middle East.
""We don't want any vacuum in the country that would create chaos such as happened in Libya and Iraq and ... Afghanistan,"" he said. ""President Assad can deliver because he is a strong president. He rules over a strong institution, which is the Syrian army. He has resisted pressure for four years.""
""He is the man who can deliver any solution,"" he added.
Britain and France have rejected calls to restore ties with the Assad government. U.S. officials say there is no shift in their policy regarding Assad, even as their focus is fighting Islamic State, an al Qaeda offshoot which is also an enemy of Damascus. ""We have been open for cooperation (with the U.S.),"" Ja’afari said. ""They don't want it.""
Some European Union countries that withdrew their ambassadors from Syria are saying privately it is time for more communication with Damascus, diplomats said in February.
Diplomats say the calls have come from or would be supported by countries including Sweden, Denmark, Romania, Bulgaria, Austria and Spain, as well as the Czech Republic, which did not withdraw its ambassador. Norway and Switzerland, which are outside the EU, are also supportive.
Such countries say that the threat from Islamic State has made Assad the lesser of two evils, seeing a need to re-engage with Damascus as a potential ally against the extremists, according to the diplomats.
U.S. officials at the United Nations did not have an immediate comment on Ja'afari's latest statements.
They noted recent comments to the Security Council by Washington's UN ambassador Samantha Power rejecting the argument that countries should partner with Damascus to more effectively fight extremists.
The United States and other Western powers have condemned Assad for widespread human rights violations since the uprising against his government began in 2011.
But Ja'afari insisted that keeping Assad, who was re-elected last year in a poll his foes regard as illegitimate, was the only path to peace and unity.",no,N/A,N/A,N/A,0,
,http://www.panarmenian.net/eng/news/121900/,Syrian troops recapture town near Jordan border,9/6/12,Syria,9/6/12,,"Syrian troops recaptured from rebels Thursday, Sept 6 a border town used by refugees to cross to Jordan, activists said, an apparent bid by the regime to stem the flood of Syrians fleeing their country's civil war, The Associated Press reported.
Damascus meanwhile accused Cairo of stirring up violence in the country, as Syria lengthens the list of other Arab countries that it blames for its unrest. Egypt's President Mohammed Morsi called this week for Syria's president to step down in an indication of the increasing isolation of Damascus in the Arab world.
In the latest clashes, hundreds of Syrian soldiers backed by 20 tanks assaulted Tel Chehab, the Britain-based Syrian Observatory for Human Rights and local activist Mohammed Abu Houran said. Rebels fought back but were pushed out.
A Jordanian army officer living just across the border said by telephone that he had heard heavy shelling starting early in the morning, but that it had subsided by midday. ""It sounded like the shelling came from tanks and armored vehicles,"" said the officer, who cannot be identified under standing army regulations. ""God help the Syrian people.""
The activists did not have any figures for casualties, but Abu Houran said that at least 2,000 refugees were waiting in the town for the chance to cross the border. Most of them were staying in two schools.",no,N/A,N/A,N/A,0,
