Keyword,Category,URL,Title,Date Published,Date of Implementation,Summary,Text,Relevant,Private/public
Military Service,N/A,http://www.panarmenian.net/eng/news/168587/,Russian military to purchase 16 MiG-29SMT fighter jets – report,8/20/13,Russia,Russia has bought 16 MIG-29SMT fighter jets and will keep them until the end of 2016. This is to keep the aircraft makers afloat before buying new and more massed produced developed weapons.,"The Russian Defense Ministry and the MiG aircraft corporation have agreed the purchase of 16 MiG-29SMT fighter jets until 2016, RIA Novosti said citing the Kommersant daily.
The agreement is part of the government’s effort to keep the struggling combat aircraft maker afloat following the announced delay of the contract on the purchase of 37 MiG-35 fighters until after 2016.
“The MiG corporation will have three years to perfect the design of its MiG-35 aircraft and prepare its smooth transition to mass production,” the source told Kommersant on condition of anonymity.
“Meanwhile, we will work together on MiG-29SMT, which is already in service [with the Russian Air Force], and at the same time support our [aircraft-making] industry,” the source said.
Sources in Russia’s United Aircraft Corporation (UAC), which includes the MiG company, confirmed the upcoming deal adding that an option for the purchase of a second batch of MiG-29SMTs will be offered to the military.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/215557/,U.S. military to lift ban on transgender service personnel,6/25/16,16-Jul,The US has lifted its ban preventing transgendered servicemen serve in office. ,"""U.S. officials say the Pentagon will lift its ban on openly transgender service personnel next month, BBC News reports.U.S. officials say the Pentagon will lift its ban on openly transgender service personnel next month, BBC News reports.
Defence Secretary Ash Carter has called the regulation outdated and harmful to the military.
The disclosure has been welcomed by campaigners for transgender rights.
It comes after the U.S. Army Secretary, Eric Fanning, formally took office. He is the first openly gay person to become the top civilian official in any branch of the American military.
The U.S. military ended its ban on openly gay and lesbian service personnel in 2011.
The latest repeal would require each branch of the U.S. military to implement new policies covering recruitment, housing and uniforms for transgender personnel, an official quoted by U.S. media said.
""""Our transgender service members and their families are breathing a huge sigh of relief,"""" said Ashley Broadway-Mack, president of the American Military Partner Association.
But Republican lawmaker Mac Thornberry, who chairs the House of Representatives Armed Services Committee, said Ash Carter had still not answered some of its questions about the move.
""""If reports are correct, I believe Secretary Carter has put the political agenda of a departing administration ahead of the military's readiness crisis,"""" he said in a statement.
Estimates by the National Center for Transgender Equality say up to 15,000 transgender people serve in the U.S. military.""",no,N/A
Military Service,C,http://www.panarmenian.net/eng/politics/news/58624/,NATO expert group praises Armenia’s activity in military education,12/17/10,N/A,Armenian Defense Minister Ohanyan receieved praise from a NATO expert group on military education. This is after Armenia changed military education to cooperate with international standards.,"Armenian Defense Minister Seyran Ohanyan received a NATO expert group on military education issues.
Presenting the Defense Ministry’ policy in the military education, Ohanyan briefed the guests on implemented reforms and draft concept of military education.
Stressing the importance of cooperation with NATO in the field, the Minister said that the cooperation proceeds from the necessity of expert consultation to implement provisions of the concept on military education and logics of transparent policy in the defense field pursued by Armenia.
Members of the expert group praised the activity implemented in military education over the past years, as a result of which the concept regulating the military education in compliance with international standards will be enforced from 2011, the RA Defense Ministry’s press service reported.",yes,public
Military Service,C,http://www.panarmenian.net/eng/politics/news/8994/,SEMINAR FOR ISSUES OF ALTERNATIVE MILITARY SERVICE TO BE HELD IN ARMENIAN PARLIAMENT,10/27/03,10/28/2003 and 10/29/2003,"A seminar on military service will be held in the Armenian Parliament, emphasizing alternative service and its implementation within the country.","A seminar with the participation of the experts of the Council of Europe and the OSCE devoted to the bill on alternative military service will be held in Armenian parliament October 28-29. As it was reported to Arminfo agency in the press office of the Armenian NA, international standards of the alternative service and the ways of its implementation in Armenia will be discussed. The experts of the OSCE and CE head office for Human Rights are to comment on the bill.",yes,public
Military Service,N/A,http://www.panarmenian.net/eng/news/74560/,Brazil praises cooperation with Armenia in struggle against natural disasters,7/16/11,7/14/11,Armenian Ambassador to Brazil met with the Brazil military police fire department official to discuss cooperation issues.,"On July 14, Armenian Ambassador to Brazil met with the Brazil military police fire department official to discuss cooperation issues.
As the Brazilian official noted, in 2009 Armenia and Brazil signed a contract for cooperation in a struggle against natural disasters. He gave high assessment to Brazil-Armenia collaboration in the sector, Armenian Foreign Ministry press service reported.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/139512/,Artsakh FM says peaceful settlement of Karabakh conflict key goal,12/26/12,12/26/12,"Artsakh Republic Foreign Minister Karen Mirzoyan gave a press conference noting that the elections in the NKR are a great representation of furthering democracy in the area. On Nagorno Karabakh conflict settlement, he expressed annoyance in the deadlock and stated a comprehensive solution must be done with Azerbaijan to settle the conflict.","Artsakh Republic Foreign Minister Karen Mirzoyan gave a press conference on December 26, with representatives of NKR mass media and foreign journalists accredited in the country present.
The press conference was aimed at summarizing the Foreign Minister’s 100-day activity and the year of 2012.
Minister Mirzoyan noted July 19 presidential elections in NKR as the most important political event of the year, representing an essential stage in the state-building process and confirming the steadfast democratic development of the republic.
Dwelling on Nagorno Karabakh conflict settlement, Minister Mirzoyan regretfully noted the lack of sufficient progress, mainly due to official Baku’s destructive position aimed at driving the negotiation process into a deadlock. In this context, Mr. Mirzoyan noted the pardon and glorification of the Azerbaijani insidious killer, Ramil Safarov.
He further named Azerbaijani-Karabakh conflict settlement through peace negotiations and the achievement of the international recognition of the NKR as the basic goal of Artsakh diplomacy.
Minister Mirzoyan provided comprehensive answers to various questions of the journalists related, in particular, to the current stage of the Karabakh conflict settlement and the possible impact of the global and regional developments on the process, various humanitarian issues arisen as a result of the military aggression of Azerbaijan against the NKR. Minister Mirzoyan noted that all the issues within the Karabakh conflict settlement required a comprehensive and package solution.
In conclusion, NKR Minister of Foreign Affairs stressed the importance of continued cooperation with the mass media, NKR MFA Press Service reported.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/224907/,3 U.S. military trainers shot dead in Jordan,11/5/16,N/A,"Three US military trainers were killed at an airbase in Jordan. These men were there to train Palestinians, Iraqis and Syrian rebels.","Three U.S. military trainers have been shot dead in an exchange of fire at an air base in Jordan, a U.S. official says, according to BBC News.
One was killed at the base and two others died later in hospital.
They were in vehicles approaching the gate of a military training centre at al-Jafr air base when they came under small-arms fire, the official added.
An earlier statement from the Jordanian military said the car they were in failed to stop at the gate and was fired upon by security forces.
""A total of three U.S. service members died today in the incident in Jordan,"" the official said.
""Initial reports were that one was killed, two injured. The two injured service members were transported to a hospital in Amman, where they died.""
The Pentagon and the White House said they would work with Jordan to determine exactly what had happened.
White House spokesman Josh Earnest said the U.S. personnel were part of an ""ongoing"" training mission.
""The United States is interested in getting to the bottom of what occurred,"" he said.
AFP news agency quoted a U.S. defence official as saying it was a ""green on blue"" incident, a military term for when friendly forces attack U.S. personnel.
""But we can't say for the moment if it was a deliberate"" act to kill U.S. personnel or ""some kind of misunderstanding,"" the official told the news agency.
The incident happened around midday local time (10:00 GMT).
Jordan is a close ally of the U.S. and a member of the U.S. -led coalition fighting the so-called Islamic State (IS) group in Syria and Iraq.
U.S. forces have trained a small group of Syrian rebels in Jordan as well as Iraqi and Palestinian security forces.
Last November, a Jordanian police captain opened fire at a police training centre near the capital Amman, killing two Americans, a South African and two Jordanians.
The Jordanian government subsequently said the police captain had been a troubled individual but security sources said he was an IS supporter.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/243491/,Iraq slows advance on last IS streets in Mosul packed with civilians,7/4/17,N/A,Iraq slowed their advance in ISIS controlled Mosul because the militants are closely packed with civilians. These civilians do not have food or any other supplies. A US led coalition is helping the assault on Mosul.,"Iraqi forces slowed their advance on Tuesday, July 4 through the last streets in Mosul controlled by Islamic State where militants and civilians are packed in densely together, a commander said, according to Reuters.
While Iraqi commanders predicted final victory in Mosul this week, U.S.-backed Syrian Democratic Forces announced they had begun an assault on Islamic State's Syrian redoubt in the Old City of Raqqa.
The Iraqi military has pushed insurgents into a shrinking rectangle no more than 300 by 500 meters beside the Tigris river in Mosul; but the resistance has been fierce.
The Rapid Response Division, an elite Interior Ministry unit, called in air strikes just 50 meters away from their targets, and the fighting got close enough at one point for the militants to toss a hand grenade at the troops.
It was from the pulpit of Mosul's medieval Grand al-Nuri Mosque that, three years ago, leader Abu Bakr al-Baghdadi declared a ""caliphate"" over parts of Iraq and Syria. Forces retook the mosque on Thursday, prompting Prime Minister Haider al-Abadi to declare an end to the group's ""state of falsehood"".
The number of Islamic State militants fighting in Mosul, by far the biggest city it has ever controlled, has dwindled from thousands at the start of the U.S.-backed offensive more than eight months ago to a couple of hundred now, according to the Iraqi military.
A commander from the Rapid Response Division estimated more than 10,000 civilians remained trapped inside the area under militant control, including people brought from other areas as human shields.
They are trapped with little food, water or medicine amid the Old City's maze of narrow alleyways, according to residents who have managed to escape.
""The presence of civilians has affected the troops' advance a lot. The directions from the commander-in-chief of the armed forces are to advance slowly to preserve civilians' lives and this is what we are doing,"" the officer said on state TV without being named.
""The area is small but the advance today is very good, relatively.""
He said the progress had also been slowed by a high number of improvised explosives planted in streets and buildings.
A U.S.-led international coalition is providing air and ground support to the offensive, which Iraq's army and counter-terrorism service are also fighting in a multi-pronged attack.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/129114/,Failed suicidal attempt reported in Azerbaijani army,10/24/12,10/24/12,Ernur Avaz oglu Gajiev tried to kill himself and sustained serious injuries.,"A suicidal attempt was recorded in a Nakhijevan military unit of the Azerbaijani armed forces, APA reported.
Conscripted into the military service from Dashkesan district, Ernur Avaz oglu Gajiev (born in 1994) jumped from the dormitory’s third floor. As a result, the soldier was hospitalized with serious injuries.",no,N/A
Military Service,N/A,http://www.panarmenian.net/eng/news/233071/,Turkey soldiers accused of Erdogan assassination attempt on trial,2/20/17,2/20/17,"Turkey has begun to try 40 soldiers involved in the assassination of Erdogan. This is in response to the failed military coup in Turkey, and after more than 40,000 members have been arrested and 100,000 fired.","The trial of more than 40 Turkish soldiers accused of attempting to assassinate President Recep Tayyip Erdogan during last year's failed coup started on Monday, February 20, with prosecutors seeking life sentences, according to the indictment obtained by Reuters.
Under tight security, the defendants were bussed in to a courthouse in the southwestern city of Mugla, not far from the luxury resort where Erdogan and his family narrowly escaped the soldiers, fleeing in a helicopter shortly before their hotel was attacked.
More than 240 people were killed during the July 15 failed coup, when a group of rogue soldiers commandeered tanks, warplanes and helicopters, attacking parliament and attempting to overthrow the government.
On Monday, prosecutors in Mugla charged 47 suspects, almost all of them soldiers, with multiple charges including attempting to assassinate the president, breaching the constitution and membership of an armed terrorist organization, according to the indictment.
Turkey says the coup was orchestrated by a U.S.-based Muslim cleric, Fethullah Gulen. The cleric, who has lived in self-imposed exile in Pennsylvania since 1999, has denied the charges and condemned the coup.
Since the failed coup, more than 40,000 people have been arrested and more than 100,000 have been sacked or suspended from the military, civil service and private sector.
Turkey launched its first criminal trial related to the coup in December and more trials are expected.
It was not immediately clear how the suspects would plead in the case. One of the lawyers said they were due to begin their testimony later in the day.

",no,N/A
